koi_score,koi_fpflag_nt,koi_model_snr,koi_fpflag_co,koi_fpflag_ss,koi_fpflag_ec,koi_duration_err2,koi_prad,koi_depth_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,koi_prad_err2,koi_insol,koi_time0bk_err2,koi_disposition
0.95,0.0,14.4,0.0,0.0,0.0,-0.186,0.79,-4.3,3.0,105.0,-117.0,-0.08,256.35,-0.00661,CONFIRMED
0.745,0.0,347.2,0.0,0.0,0.0,-0.0327,12.19,-64.0,1.0,98.0,-120.0,-0.52,6.77,-0.000423,CONFIRMED
0.334,0.0,11.6,0.0,0.0,0.0,-0.2,1.91,-43.5,1.0,99.0,-112.0,-0.07,17.85,-0.00718,CONFIRMED
0.0,0.0,38.8,1.0,0.0,1.0,-0.0846,25.69,-25.7,1.0,171.0,-188.0,-2.33,1105.68,-0.0015,FALSE POSITIVE
0.0,0.0,48.5,1.0,0.0,1.0,-0.113,1.7,-14.1,1.0,140.0,-154.0,-0.15,168.45,-0.00309,FALSE POSITIVE
1.0,0.0,1009.3,0.0,0.0,0.0,-0.0106,11.3,-20.3,1.0,160.0,-178.0,-1.33,1329.42,-5.79e-05,CONFIRMED
1.0,0.0,70.6,0.0,0.0,0.0,-0.0332,2.5,-16.6,1.0,155.0,-155.0,-0.19,145.48,-0.000943,CONFIRMED
1.0,0.0,78.5,0.0,0.0,0.0,-0.0481,3.41,-31.0,1.0,148.0,-148.0,-0.31,17.06,-0.00122,CONFIRMED
1.0,0.0,71.6,0.0,0.0,0.0,-0.0318,2.03,-26.6,1.0,70.0,-86.0,-0.17,43.73,-0.00075,CONFIRMED
0.0,0.0,64.9,1.0,1.0,0.0,-0.0427,30.26,-24.7,1.0,184.0,-226.0,-3.19,730.47,-0.000835,FALSE POSITIVE
1.0,0.0,46.1,0.0,0.0,0.0,-0.0687,3.12,-20.9,1.0,78.0,-78.0,-0.28,57.13,-0.00224,CONFIRMED
1.0,0.0,50.6,0.0,0.0,0.0,-0.0585,1.7,-2.9,3.0,64.0,-75.0,-0.05,598.74,-0.00175,CONFIRMED
0.998,0.0,28.5,0.0,0.0,0.0,-0.181,2.76,-16.2,3.0,78.0,-78.0,-0.24,135.66,-0.0036,CONFIRMED
1.0,0.0,39.7,0.0,0.0,0.0,-0.199,4.02,-26.8,2.0,78.0,-78.0,-0.36,21.71,-0.00407,CONFIRMED
0.99,0.0,1996.7,0.0,0.0,0.0,-0.00079,11.58,-13.1,1.0,82.0,-82.0,-0.48,213.12,-3.33e-05,CONFIRMED
1.0,0.0,76.8,0.0,0.0,0.0,-0.0702,7.61,-82.5,1.0,166.0,-166.0,-0.91,16.1,-0.00094,CANDIDATE
1.0,0.0,113.2,0.0,0.0,0.0,-0.043,5.52,-25.7,1.0,169.0,-232.0,-0.56,204.39,-0.000765,CONFIRMED
1.0,0.0,27.5,0.0,0.0,0.0,-0.113,1.8,-46.1,1.0,75.0,-83.0,-0.15,2.77,-0.00305,CONFIRMED
0.995,0.0,17.9,0.0,0.0,0.0,-0.0773,1.82,-57.5,2.0,75.0,-83.0,-0.15,11.39,-0.00219,CONFIRMED
1.0,0.0,56.4,0.0,0.0,0.0,-0.0447,2.1,-32.0,1.0,73.0,-83.0,-0.16,10.55,-0.00107,CONFIRMED
0.0,0.0,1300.0,0.0,1.0,0.0,-0.00645,27.5,-83.3,1.0,166.0,-183.0,-2.27,14.81,-7.16e-05,FALSE POSITIVE
0.0,0.0,296.9,0.0,0.0,0.0,-0.274,30.09,-11.7,1.0,205.0,-205.0,-3.14,421.08,-0.00261,CANDIDATE
0.0,0.0,138.2,1.0,1.0,1.0,-0.0445,13.65,-5.3,1.0,149.0,-149.0,-1.04,266.76,-0.000902,FALSE POSITIVE
0.992,0.0,107.4,0.0,0.0,0.0,-0.044,2.89,-4.2,1.0,64.0,-75.0,-0.1,137.91,-0.00118,CONFIRMED
1.0,0.0,37.8,0.0,0.0,0.0,-0.091,3.38,-35.8,1.0,166.0,-166.0,-0.49,39.33,-0.00261,CONFIRMED
0.0,0.0,389.0,0.0,1.0,0.0,-0.0209,10.34,-49.8,1.0,154.0,-172.0,-0.87,104.0,-0.000202,FALSE POSITIVE
0.334,0.0,89.6,0.0,0.0,0.0,-0.034,72.77,-127.0,1.0,183.0,-219.0,-8.6,3400.48,-0.00054,CANDIDATE
1.0,0.0,166.0,0.0,0.0,0.0,-0.0645,11.01,-114.0,1.0,79.0,-79.0,-0.82,30.54,-0.000608,CONFIRMED
1.0,0.0,39.3,0.0,0.0,0.0,-0.0635,2.11,-24.5,1.0,131.0,-146.0,-0.2,52.82,-0.00205,CONFIRMED
1.0,0.0,21.3,0.0,0.0,0.0,-0.103,1.46,-22.0,2.0,131.0,-146.0,-0.14,108.84,-0.00324,CONFIRMED
1.0,0.0,70.8,0.0,0.0,0.0,-0.0408,2.44,-13.1,1.0,155.0,-155.0,-0.21,165.33,-0.001,CONFIRMED
0.037,0.0,50.3,1.0,0.0,0.0,-0.185,3.86,-23.5,1.0,193.0,-214.0,-0.44,284.25,-0.00137,FALSE POSITIVE
0.0,0.0,110.2,1.0,0.0,1.0,-0.0546,26.25,-12.7,1.0,154.0,-171.0,-2.47,597.19,-0.00104,FALSE POSITIVE
1.0,0.0,568.2,0.0,0.0,0.0,-0.0168,8.99,-25.8,1.0,151.0,-151.0,-0.99,257.29,-8.86e-05,CONFIRMED
1.0,0.0,86.6,0.0,0.0,0.0,-0.0771,5.0,-39.0,2.0,105.0,-105.0,-0.18,32.67,-0.00103,CONFIRMED
0.998,0.0,14.7,0.0,0.0,0.0,-0.229,1.06,-3.7,4.0,64.0,-75.0,-0.04,314.15,-0.00767,CONFIRMED
1.0,0.0,117.2,0.0,0.0,0.0,-0.102,6.5,-48.4,1.0,105.0,-105.0,-0.23,12.61,-0.00103,CONFIRMED
0.006,0.0,323.4,0.0,1.0,0.0,-0.0271,12.28,-62.1,1.0,157.0,-175.0,-1.19,351.05,-0.000266,FALSE POSITIVE
0.0,0.0,1671.1,0.0,1.0,0.0,-0.00533,17.61,-32.8,1.0,169.0,-169.0,-1.87,95.03,-4.5e-05,FALSE POSITIVE
0.0,0.0,117.2,0.0,1.0,0.0,-0.0267,31.44,-25.2,1.0,182.0,-182.0,-2.96,388.71,-0.000454,FALSE POSITIVE
0.999,0.0,266.3,0.0,0.0,0.0,-0.021,7.89,-13.2,1.0,114.0,-103.0,-1.52,67.65,-0.000603,CONFIRMED
0.996,0.0,49.1,0.0,0.0,0.0,-0.0875,3.06,-10.8,2.0,114.0,-103.0,-0.58,146.67,-0.00275,CONFIRMED
0.997,0.0,35.1,0.0,0.0,0.0,-0.0994,2.32,-8.6,3.0,114.0,-103.0,-0.45,406.94,-0.00345,CONFIRMED
1.0,0.0,19.9,0.0,0.0,0.0,-0.106,1.62,-6.4,5.0,114.0,-103.0,-0.32,1718.04,-0.00398,CONFIRMED
0.995,0.0,50.4,0.0,0.0,0.0,-0.0558,1.53,-2.7,2.0,64.0,-75.0,-0.05,1066.86,-0.00181,CONFIRMED
0.989,0.0,19.4,0.0,0.0,0.0,-0.247,2.67,-20.1,4.0,114.0,-103.0,-0.51,24.64,-0.0103,CONFIRMED
1.0,0.0,48.9,0.0,0.0,0.0,-0.05,2.35,-23.9,1.0,99.0,-160.0,-0.08,33.99,-0.0013,CONFIRMED
0.878,0.0,20.9,0.0,0.0,0.0,-0.134,2.37,-44.9,2.0,99.0,0.0,-0.09,4.22,-0.00471,CONFIRMED
0.0,0.0,50.5,1.0,1.0,1.0,-0.0817,17.06,-29.9,1.0,130.0,-144.0,-1.6,244.87,-0.00163,FALSE POSITIVE
1.0,0.0,38.4,0.0,0.0,0.0,-0.0595,2.25,-25.3,1.0,76.0,-85.0,-0.14,55.37,-0.00182,CONFIRMED
1.0,0.0,22.8,0.0,0.0,0.0,-0.0984,1.48,-19.8,2.0,76.0,-85.0,-0.09,132.08,-0.00313,CONFIRMED
0.0,0.0,269.7,0.0,1.0,0.0,-0.0122,38.33,-27.2,1.0,168.0,-232.0,-4.27,364.23,-0.000207,FALSE POSITIVE
0.999,0.0,482.3,0.0,0.0,0.0,-0.0257,8.24,-26.4,1.0,159.0,-159.0,-0.8,61.16,-0.000136,CONFIRMED
1.0,0.0,99.5,0.0,0.0,0.0,-0.0321,5.39,-44.5,1.0,157.0,-175.0,-0.53,274.98,-0.000733,CONFIRMED
0.876,0.0,35.9,0.0,0.0,0.0,-0.0901,2.66,-16.4,1.0,154.0,-171.0,-0.26,372.62,-0.00209,CONFIRMED
1.0,0.0,54.4,0.0,0.0,0.0,-0.0529,3.01,-21.2,1.0,149.0,-149.0,-0.3,71.5,-0.00143,CONFIRMED
1.0,0.0,25.7,0.0,0.0,0.0,-0.305,3.01,-26.7,2.0,149.0,-149.0,-0.3,33.48,-0.00409,CONFIRMED
1.0,0.0,24.8,0.0,0.0,0.0,-0.111,2.19,-30.0,3.0,105.0,-105.0,-0.08,101.78,-0.00317,CONFIRMED
1.0,0.0,52.7,0.0,0.0,0.0,-0.0562,2.31,-24.5,1.0,128.0,-142.0,-0.22,23.6,-0.00152,CONFIRMED
0.999,0.0,51.7,0.0,0.0,0.0,-0.0634,2.64,-32.1,2.0,128.0,-142.0,-0.26,5.88,-0.00172,CONFIRMED
1.0,0.0,240.6,0.0,0.0,0.0,-0.0224,6.21,-14.1,1.0,190.0,-232.0,-0.82,547.9,-0.000306,CONFIRMED
1.0,0.0,116.1,0.0,0.0,0.0,-0.0265,4.35,-20.1,1.0,77.0,-85.0,-0.28,415.1,-0.000638,CONFIRMED
1.0,0.0,74.6,0.0,0.0,0.0,-0.112,3.75,-18.1,1.0,158.0,-193.0,-0.47,66.08,-0.00181,CONFIRMED
0.985,0.0,748.1,0.0,0.0,0.0,-0.00935,13.84,-47.3,1.0,177.0,-177.0,-1.21,22.24,-0.000134,CONFIRMED
0.942,0.0,160.9,0.0,0.0,0.0,-0.13,7.59,-25.9,1.0,82.0,-71.0,-1.52,9.88,-0.00131,CONFIRMED
0.0,0.0,122.1,1.0,1.0,0.0,-0.0327,26.82,-44.4,1.0,151.0,-136.0,-2.74,196.31,-0.000586,FALSE POSITIVE
0.912,0.0,62.0,0.0,0.0,0.0,-0.0669,2.29,-4.9,1.0,85.0,-77.0,-0.08,60.88,-0.00197,CONFIRMED
1.0,0.0,49.2,0.0,0.0,0.0,-0.0602,2.47,-17.4,1.0,164.0,-147.0,-0.31,86.22,-0.0016,CONFIRMED
1.0,0.0,62.6,0.0,0.0,0.0,-0.0875,3.68,-26.7,1.0,174.0,-158.0,-0.36,33.43,-0.00145,CONFIRMED
0.998,0.0,271.8,0.0,0.0,0.0,-0.0606,10.59,-91.7,1.0,85.0,-85.0,-0.52,0.29,-0.000898,CANDIDATE
1.0,0.0,53.0,0.0,0.0,0.0,-0.0424,2.56,-22.7,1.0,101.0,-101.0,-0.12,76.06,-0.00124,CONFIRMED
1.0,0.0,45.5,0.0,0.0,0.0,-0.0756,3.03,-35.5,2.0,101.0,-101.0,-0.15,9.29,-0.00222,CONFIRMED
1.0,0.0,22.6,0.0,0.0,0.0,-0.0721,2.32,-38.3,4.0,101.0,-101.0,-0.12,24.6,-0.00242,CONFIRMED
0.996,0.0,27.4,0.0,0.0,0.0,-0.132,1.94,-66.7,1.0,71.0,-86.0,-0.22,0.69,-0.00329,CONFIRMED
0.974,0.0,907.8,0.0,0.0,0.0,-0.0136,11.38,-31.4,1.0,165.0,-148.0,-1.04,9.93,-0.000123,CONFIRMED
0.994,0.0,561.1,0.0,0.0,0.0,-0.0213,14.21,-44.1,1.0,181.0,-218.0,-1.49,21.87,-0.000301,CANDIDATE
1.0,0.0,59.4,0.0,0.0,0.0,-0.0418,2.47,-17.4,1.0,157.0,-157.0,-0.17,123.03,-0.0011,CONFIRMED
0.959,0.0,355.7,0.0,0.0,0.0,-0.051,8.2,-5.4,1.0,89.0,-78.0,-0.55,47.4,-0.000569,CONFIRMED
